GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Esri Geometry API for Java,com.esri.core.geometry,Bufferer.GlueingCursorForPolyline,31,118,5,15,8,32,5,8,0,3
Esri Geometry API for Java,com.esri.core.geometry,OperatorCrossesLocal,0,10,0,0,0,2,0,2,0,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorIntersectionLocal,31,41,2,0,9,7,3,4,2,4
Esri Geometry API for Java,com.esri.core.geometry,OperatorSimplifyLocalHelper.VertexComparer,0,17,0,0,0,5,0,2,0,2
Esri Geometry API for Java,com.esri.core.geometry,QuadTreeImpl.QuadTreeSortedIteratorImpl.Sorter,0,20,0,0,0,6,0,3,0,3
Esri Geometry API for Java,com.esri.core.geometry,OperatorGeodeticLength,7,3,0,0,3,1,2,1,2,1
Esri Geometry API for Java,com.esri.core.geometry,VertexDescriptionHash,2,80,0,6,1,20,1,8,1,5
Esri Geometry API for Java,com.esri.core.geometry,Clusterer,366,895,55,75,82,180,35,45,4,11
Esri Geometry API for Java,com.esri.core.geometry,OperatorTouches,2,8,0,0,1,3,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorExportToESRIShape,7,3,0,0,3,1,2,1,2,1
Esri Geometry API for Java,com.esri.core.geometry,OperatorSimplifyLocalHelper.Vertex_info_pl,0,3,0,0,0,1,0,1,0,1
Esri Geometry API for Java,com.esri.core.geometry,ObjectCacheTable,92,0,4,0,19,0,6,0,4,0
Esri Geometry API for Java,com.esri.core.geometry,OperatorEqualsLocal,0,10,0,0,0,2,0,2,0,2
Esri Geometry API for Java,com.esri.core.geometry,SweepMonkierComparator,39,202,12,12,10,47,12,7,1,6
Esri Geometry API for Java,com.esri.core.geometry,OperatorExportToWkt,2,8,0,0,1,3,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorSimplifyLocalHelper.Vertex_info_pg,31,18,10,0,1,7,6,1,1,1
Esri Geometry API for Java,com.esri.core.geometry,OperatorUnionLocal,0,35,0,0,0,6,0,3,0,3
Esri Geometry API for Java,com.esri.core.geometry,PolygonUtils,398,187,66,40,85,51,46,22,8,7
Esri Geometry API for Java,com.esri.core.geometry,Treap,153,1640,40,214,25,437,42,152,4,63
Esri Geometry API for Java,com.esri.core.geometry,OperatorBufferLocal,0,66,0,2,0,11,0,5,0,4
Esri Geometry API for Java,com.esri.core.geometry,Envelope2DIntersectorImpl.EndPointsComparer,0,41,0,8,0,9,0,6,0,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorConvexHullLocal,0,18,0,0,0,4,0,4,0,4
Esri Geometry API for Java,com.esri.core.geometry,TopoGraph,817,4334,179,425,143,1066,162,266,19,107
Esri Geometry API for Java,com.esri.core.geometry,GeometryCursor,2,3,0,0,1,1,1,1,1,1
Esri Geometry API for Java,com.esri.core.geometry,Cutter.CompareVertices,2,59,1,5,1,17,1,4,0,2
Esri Geometry API for Java,com.esri.core.geometry.ogc,OGCMultiPoint,35,118,1,5,9,30,5,15,4,13
Esri Geometry API for Java,com.esri.core.geometry.ogc,OGCLineString,44,134,9,9,8,31,13,14,5,13
Esri Geometry API for Java,com.esri.core.geometry.ogc,OGCMultiCurve,26,10,4,0,6,3,4,2,2,2
Esri Geometry API for Java,com.esri.core.geometry.ogc,OGCPolygon,26,141,3,9,4,29,5,17,2,14
Esri Geometry API for Java,com.esri.core.geometry.ogc,OGCConcreteGeometryCollection.FlatteningCollectionCursor,65,0,8,0,20,0,7,0,3,0
Esri Geometry API for Java,com.esri.core.geometry.ogc,OGCLinearRing,27,33,4,2,7,7,6,2,3,2
Esri Geometry API for Java,com.esri.core.geometry.ogc,OGCConcreteGeometryCollection.GeometryCursorOGC,1,96,1,9,1,25,1,7,0,3
Esri Geometry API for Java,com.esri.core.geometry.ogc,OGCMultiSurface,4,7,0,0,1,2,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry.ogc,OGCSurface,4,7,0,0,1,2,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry.ogc,OGCGeometry,406,1169,53,90,98,258,55,79,15,43
Esri Geometry API for Java,com.esri.core.geometry.ogc,OGCGeometryCollection,0,3,0,0,0,1,0,1,0,1
Esri Geometry API for Java,com.esri.core.geometry.ogc,OGCPoint,17,74,1,1,4,17,5,12,4,12
Esri Geometry API for Java,com.esri.core.geometry.ogc,OGCMultiLineString,28,106,1,5,6,27,5,13,4,11
Esri Geometry API for Java,com.esri.core.geometry.ogc,OGCMultiPolygon,25,137,2,10,7,31,5,17,3,13
Esri Geometry API for Java,com.esri.core.geometry.ogc,OGCCurve,33,12,7,1,5,3,5,2,1,2
Esri Geometry API for Java,com.esri.core.geometry.ogc,OGCConcreteGeometryCollection,441,1223,98,174,103,285,95,99,23,35
