GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Esri Geometry API for Java,com.esri.core.geometry,OperatorImportFromGeoJsonLocal,11,60,2,0,3,13,2,4,1,4
Esri Geometry API for Java,com.esri.core.geometry,OperatorGeodesicBufferLocal,10,3,0,0,2,1,2,1,2,1
Esri Geometry API for Java,com.esri.core.geometry,RingOrientationFixer.Edges,32,178,4,10,6,39,4,15,2,10
Esri Geometry API for Java,com.esri.core.geometry,PolygonUtils.PiPResult,0,21,0,0,0,2,0,1,0,1
Esri Geometry API for Java,com.esri.core.geometry,OperatorSimplify,2,16,0,0,1,4,1,3,1,3
Esri Geometry API for Java,com.esri.core.geometry,EnvSrlzr,83,110,10,6,17,26,8,3,0,3
Esri Geometry API for Java,com.esri.core.geometry,MultiVertexGeometryImpl,474,1460,94,160,109,375,86,104,12,51
Esri Geometry API for Java,com.esri.core.geometry,OperatorSimplifyLocal,0,39,0,2,0,7,0,5,0,4
Esri Geometry API for Java,com.esri.core.geometry,SegmentIterator,56,41,0,0,18,13,13,9,13,9
Esri Geometry API for Java,com.esri.core.geometry,GeoJsonCrsTables,33,276,11,31,11,73,12,18,1,8
Esri Geometry API for Java,com.esri.core.geometry,OperatorCutLocal,0,12,0,0,0,2,0,2,0,2
Esri Geometry API for Java,com.esri.core.geometry,JsonParserReader,88,109,6,22,27,39,6,19,2,9
Esri Geometry API for Java,com.esri.core.geometry,MathUtils,96,269,30,50,8,25,31,20,5,6
Esri Geometry API for Java,com.esri.core.geometry,StringUtils,82,104,16,14,24,24,13,6,2,2
Esri Geometry API for Java,com.esri.core.geometry,SimpleRasterizer,286,979,37,123,49,227,34,66,5,15
Esri Geometry API for Java,com.esri.core.geometry,Bufferer,872,3164,188,256,205,687,143,112,1,29
Esri Geometry API for Java,com.esri.core.geometry,Envelope1D,212,168,40,26,54,50,36,21,12,12
Esri Geometry API for Java,com.esri.core.geometry,OperatorBoundary,2,8,0,0,1,2,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorClipCursor,9,43,2,2,3,11,3,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,Envelope2DIntersectorImpl.Envelope2DBucketSortHelper,0,25,0,0,0,7,0,3,0,3
Esri Geometry API for Java,com.esri.core.geometry,Bufferer.GeometryCursorForPolyline,2,65,0,6,1,18,1,5,1,2
Esri Geometry API for Java,com.esri.core.geometry,OGCStructure,0,3,0,0,0,1,0,1,0,1
Esri Geometry API for Java,com.esri.core.geometry,AttributeStreamOfInt32,883,844,161,81,175,198,109,65,16,37
Esri Geometry API for Java,com.esri.core.geometry,OperatorTouchesLocal,0,10,0,0,0,2,0,2,0,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorCentroid2DLocal,13,333,2,23,2,70,2,19,0,6
Esri Geometry API for Java,com.esri.core.geometry,OperatorSimplifyCursorOGC,22,51,5,5,5,15,5,4,1,3
Esri Geometry API for Java,com.esri.core.geometry,SimpleGeometryCursor,0,70,0,4,0,20,0,7,0,5
Esri Geometry API for Java,com.esri.core.geometry,OperatorExportToWkbLocal,908,1788,168,300,290,508,142,103,1,8
Esri Geometry API for Java,com.esri.core.geometry,PlaneSweepCrackerHelper.SimplifySweepMonikerComparator,2,37,1,1,1,9,1,2,0,2
Esri Geometry API for Java,com.esri.core.geometry,Envelope2D,950,2046,149,256,206,356,132,160,31,57
Esri Geometry API for Java,com.esri.core.geometry,OperatorSymmetricDifferenceCursor,9,47,3,3,3,12,4,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorExportToJsonCursor,320,522,72,72,66,175,56,30,1,11
Esri Geometry API for Java,com.esri.core.geometry,Boundary,118,290,35,39,36,72,24,17,1,3
Esri Geometry API for Java,com.esri.core.geometry,ByteBufferCursor,0,3,0,0,0,1,0,1,0,1
Esri Geometry API for Java,com.esri.core.geometry,MapGeometry,90,61,20,6,25,21,17,5,4,5
Esri Geometry API for Java,com.esri.core.geometry,JsonCursor,0,3,0,0,0,1,0,1,0,1
Esri Geometry API for Java,com.esri.core.geometry,SpatialReference,58,148,14,34,15,48,16,18,4,6
Esri Geometry API for Java,com.esri.core.geometry,OperatorExportToJsonLocal,11,17,0,0,2,4,2,2,2,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorClip,2,8,0,0,1,2,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,Polygon,13,94,3,3,5,25,4,15,1,15
Esri Geometry API for Java,com.esri.core.geometry,Treap.Comparator,16,32,3,5,8,14,7,7,5,5
Esri Geometry API for Java,com.esri.core.geometry,OperatorIntersects,7,3,0,0,3,1,2,1,2,1
Esri Geometry API for Java,com.esri.core.geometry,OperatorOffsetCursor,8,67,2,2,3,17,3,3,1,3
Esri Geometry API for Java,com.esri.core.geometry,Bufferer.BufferCommand,0,77,0,0,0,22,0,2,0,2
Esri Geometry API for Java,com.esri.core.geometry,Interop,7,11,2,2,1,2,3,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorImportFromGeoJsonLocal.OperatorImportFromGeoJsonHelper,510,1937,145,345,91,544,130,140,0,21
Esri Geometry API for Java,com.esri.core.geometry,Envelope3D,1006,0,126,0,199,0,97,0,34,0
Esri Geometry API for Java,com.esri.core.geometry,OperatorUnionCursor.Bin_type,0,63,0,0,0,11,0,5,0,5
Esri Geometry API for Java,com.esri.core.geometry,Envelope,890,1026,121,76,205,253,106,76,29,53
Esri Geometry API for Java,com.esri.core.geometry,OperatorCut,2,8,0,0,1,2,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,ConvexHull,127,1615,41,161,20,357,40,86,2,23
Esri Geometry API for Java,com.esri.core.geometry,Point2D.CompareVectors,0,7,0,0,0,2,0,2,0,2
Esri Geometry API for Java,com.esri.core.geometry,Simplificator,121,2030,39,195,26,461,35,99,0,17
Esri Geometry API for Java,com.esri.core.geometry,Clipper.ClipperVertexComparer,0,12,0,0,0,4,0,2,0,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorExportToGeoJsonCursor,310,1364,77,161,65,340,71,78,4,24
Esri Geometry API for Java,com.esri.core.geometry,RelationalOperationsMatrix,1012,5883,344,750,215,1273,276,373,2,88
Esri Geometry API for Java,com.esri.core.geometry,Transformation3D,1005,0,8,0,147,0,18,0,14,0
Esri Geometry API for Java,com.esri.core.geometry,OperatorExportToGeoJson,2,8,0,0,1,2,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,IntervalTreeImpl.IntervalTreeIteratorImpl,50,869,10,79,8,182,11,56,1,18
Esri Geometry API for Java,com.esri.core.geometry,OperatorImportFromJsonCursor,280,930,129,193,56,275,107,69,9,6
Esri Geometry API for Java,com.esri.core.geometry,OperatorSimplifyLocalHelper.IndexSorter,0,64,0,2,0,14,0,4,0,3
Esri Geometry API for Java,com.esri.core.geometry,NonSimpleResult,0,37,0,0,0,14,0,3,0,3
Esri Geometry API for Java,com.esri.core.geometry,OperatorConvexHullCursor,25,383,11,59,6,106,12,31,1,7
Esri Geometry API for Java,com.esri.core.geometry,RasterizedGeometry2D,12,54,5,9,4,19,5,8,0,5
Esri Geometry API for Java,com.esri.core.geometry,OperatorBufferCursor,3,91,1,3,1,20,2,4,1,3
Esri Geometry API for Java,com.esri.core.geometry,Geometry.Type,4,83,1,3,1,16,1,5,0,4
Esri Geometry API for Java,com.esri.core.geometry,OperatorCrosses,2,8,0,0,1,3,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,ECoordinate,815,132,42,6,148,28,69,13,48,10
Esri Geometry API for Java,com.esri.core.geometry,OperatorSimpleRelation,3,8,0,0,2,2,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,InternalUtils,531,651,74,75,137,182,53,46,8,14
Esri Geometry API for Java,com.esri.core.geometry,IndexMultiDCList,134,362,16,16,32,92,21,35,11,29
Esri Geometry API for Java,com.esri.core.geometry,OperatorUnion,2,8,0,0,1,2,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,TopoGraph.TopoGraphAngleComparer,0,12,0,0,0,4,0,2,0,2
Esri Geometry API for Java,com.esri.core.geometry,QuadTreeImpl.QuadTreeIteratorImpl,37,486,6,38,9,113,7,22,1,6
Esri Geometry API for Java,com.esri.core.geometry,Point,111,721,26,70,39,199,26,67,4,41
Esri Geometry API for Java,com.esri.core.geometry,EditShape.SimplificatorVertexComparerX,12,0,0,0,4,0,2,0,2,0
Esri Geometry API for Java,com.esri.core.geometry,EditShape.SimplificatorVertexComparerY,0,12,0,0,0,4,0,2,0,2
Esri Geometry API for Java,com.esri.core.geometry,ProgressTracker,12,3,3,1,2,2,3,1,1,1
Esri Geometry API for Java,com.esri.core.geometry,Wkt,168,0,34,0,52,0,19,0,2,0
Esri Geometry API for Java,com.esri.core.geometry,IntervalTreeImpl,209,1514,53,167,27,356,51,111,3,49
Esri Geometry API for Java,com.esri.core.geometry,OperatorImportFromGeoJson,2,8,0,0,1,2,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorBoundaryLocal,6,15,0,0,1,3,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,Transformation2D,1453,250,79,13,256,50,91,11,47,9
Esri Geometry API for Java,com.esri.core.geometry,ConstructOffset.GraphicPoint,29,115,0,0,6,30,1,5,1,5
Esri Geometry API for Java,com.esri.core.geometry,JsonStringWriter,290,479,42,39,80,157,38,49,6,34
Esri Geometry API for Java,com.esri.core.geometry,ProjectionTransformation,3,0,0,0,1,0,1,0,1,0
Esri Geometry API for Java,com.esri.core.geometry,VertexDescriptionDesignerImpl,13,90,3,7,5,19,5,8,2,6
Esri Geometry API for Java,com.esri.core.geometry,QuadTreeImpl,309,2078,62,192,43,437,63,139,11,64
Esri Geometry API for Java,com.esri.core.geometry,OperatorExportToESRIShapeLocal,15,22,0,0,3,6,2,2,2,2
Esri Geometry API for Java,com.esri.core.geometry,SimpleRasterizer.EdgeComparator,2,21,1,5,1,2,1,3,0,1
Esri Geometry API for Java,com.esri.core.geometry,OperatorOffset,7,3,0,0,2,1,2,1,2,1
Esri Geometry API for Java,com.esri.core.geometry,OperatorGeodeticLengthLocal,5,3,0,0,1,1,1,1,1,1
Esri Geometry API for Java,com.esri.core.geometry,OperatorWithinLocal,0,10,0,0,0,2,0,2,0,2
Esri Geometry API for Java,com.esri.core.geometry,Wkid,67,302,7,21,20,76,7,15,1,7
Esri Geometry API for Java,com.esri.core.geometry,AttributeStreamOfDbl,1201,646,241,67,259,138,157,45,20,28
Esri Geometry API for Java,com.esri.core.geometry,SimpleJsonCursor,55,0,4,0,16,0,6,0,4,0
Esri Geometry API for Java,com.esri.core.geometry,OperatorSymmetricDifferenceLocal,30,305,9,31,6,69,7,19,0,6
Esri Geometry API for Java,com.esri.core.geometry,PtSrlzr,41,109,6,8,10,27,5,5,0,3
Esri Geometry API for Java,com.esri.core.geometry,JSONUtils,43,16,12,4,11,2,9,2,2,1
Esri Geometry API for Java,com.esri.core.geometry,OperatorSymmetricDifference,7,3,0,0,3,1,2,1,2,1
Esri Geometry API for Java,com.esri.core.geometry,Cracker,103,1048,34,146,20,266,28,74,0,12
Esri Geometry API for Java,com.esri.core.geometry,Envelope2DIntersectorImpl,489,1462,86,134,119,336,68,93,6,37
Esri Geometry API for Java,com.esri.core.geometry,ConstructOffset,430,2209,53,201,95,399,49,96,2,16
Esri Geometry API for Java,com.esri.core.geometry,OperatorSimplifyLocalHelper.Vertex_info,3,0,0,0,1,0,1,0,1,0
Esri Geometry API for Java,com.esri.core.geometry,OperatorDisjoint,2,8,0,0,1,3,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorImportFromESRIShapeLocal,0,25,0,0,0,5,0,3,0,3
Esri Geometry API for Java,com.esri.core.geometry,OperatorFactoryLocal,301,314,23,1,93,48,20,3,8,3
Esri Geometry API for Java,com.esri.core.geometry,QuadTreeImpl.QuadTreeSortedIteratorImpl,13,89,0,6,4,19,1,6,1,3
Esri Geometry API for Java,com.esri.core.geometry,OperatorSimplifyLocalOGC,0,39,0,2,0,7,0,5,0,4
Esri Geometry API for Java,com.esri.core.geometry,ConstructOffset.GraphicRect,3,0,0,0,1,0,1,0,1,0
Esri Geometry API for Java,com.esri.core.geometry,OperatorSimplifyLocalHelper.RingOrientationTestComparator,7,123,3,11,1,26,3,7,0,3
Esri Geometry API for Java,com.esri.core.geometry,OperatorProximity2DLocal.Side_helper,197,223,35,15,53,55,26,7,1,7
Esri Geometry API for Java,com.esri.core.geometry,OperatorDensifyByLengthLocal,4,28,1,1,1,6,1,3,0,3
Esri Geometry API for Java,com.esri.core.geometry,OperatorGeodeticDensifyByLength,7,3,0,0,3,1,2,1,2,1
Esri Geometry API for Java,com.esri.core.geometry,GeoDist,433,800,72,50,80,142,48,22,2,7
Esri Geometry API for Java,com.esri.core.geometry,OGCStructureInternal.EditShapeCursor,0,56,1,5,0,14,1,5,0,3
Esri Geometry API for Java,com.esri.core.geometry,SpatialReferenceImpl.Precision,21,0,0,0,2,0,1,0,1,0
Esri Geometry API for Java,com.esri.core.geometry,OperatorImportFromWkt,2,8,0,0,1,3,1,2,1,2
